location|203744919|35.1666479|-89.9954825
location|1782962509|35.1538495|-90.0144788
location|1782962515|35.1532569|-90.0056020
location|203744916|35.1662719|-89.9954575
location|203744878|35.1408889|-89.9992085
location|203713541|35.1491519|-89.9979715
location|203761725|35.1602899|-89.9951015
location|203651182|35.1593569|-89.9864335
location|425396341|35.1580253|-89.9715715
location|425396343|35.1579855|-89.9718810
location|203827438|35.1582409|-90.0134255
location|1782962436|35.1535564|-90.0126852
location|1782962439|35.1524550|-89.9975407
location|1782962442|35.1532573|-90.0104204
location|1782962444|35.1515027|-89.9877739
location|1782962448|35.1536411|-90.0131842
location|1782962450|35.1542542|-90.0205567
location|1782962452|35.1537844|-90.0157472
location|1782962458|35.1534259|-90.0093372
location|1782962464|35.1529062|-90.0019985
location|1782962470|35.1532033|-90.0109543
location|203744887|35.1549849|-89.9971405
location|1782962485|35.1535257|-90.0083725
location|1782962488|35.1532524|-90.0114699
location|203912927|35.1603399|-89.9904365
location|1782962493|35.1537402|-90.0143765
location|1782962495|35.1519292|-89.9921485
location|1782970692|35.1510653|-89.9816097
location|1782962501|35.1539619|-90.0177636
location|203848007|35.1553369|-90.0003945
location|1782962505|35.1534915|-90.0079240
location|203848011|35.1560569|-90.0002785
location|203912930|35.1606159|-89.9900655
location|203848014|35.1568849|-90.0001555
location|1782962512|35.1541267|-90.0196238
location|1782962526|35.1513308|-89.9859873
location|1782962529|35.1534302|-90.0072260
location|1782962532|35.1534973|-90.0089127
location|1782962547|35.1526567|-89.9995551
location|1782962550|35.1510392|-89.9827114
location|203848068|35.1608599|-89.9998815
location|203659675|35.1448759|-90.0006375
location|203659678|35.1459799|-90.0004875
location|203659679|35.1470899|-90.0003165
location|203659682|35.1481859|-90.0001505
location|203659684|35.1493099|-90.0000035
location|203659685|35.1504079|-89.9998275
location|203659689|35.1515739|-89.9996515
location|203659691|35.1528492|-89.9995306
location|203659694|35.1540939|-89.9993165
location|203659698|35.1551965|-89.9991672
location|203659705|35.1570772|-89.9989012
location|203954622|35.1712419|-89.9441915
location|203954626|35.1703469|-89.9454475
location|203659717|35.1580669|-89.9989365
location|203954633|35.1690049|-89.9473835
location|203659723|35.1587739|-89.9988415
location|203659726|35.1591429|-89.9986095
location|203954640|35.1669789|-89.9500215
location|203659729|35.1596269|-89.9985365
location|203659730|35.1606859|-89.9983895
location|203954645|35.1644789|-89.9532465
location|203659736|35.1607389|-89.9987175
location|203954650|35.1642439|-89.9536095
location|203659741|35.1640179|-89.9982845
location|203954655|35.1623649|-89.9565845
location|203659744|35.1642829|-89.9983615
location|203954659|35.1620149|-89.9573475
location|203659749|35.1646029|-89.9985905
location|203659752|35.1654039|-89.9990845
location|203659756|35.1657869|-89.9991955
location|203954670|35.1580557|-89.9713574
location|203954671|35.1579473|-89.9739416
location|203659760|35.1662259|-89.9991865
